subsidiary_id,order_id,order_timestamp,customer_id,region,country,city,channel,sku,category,qty,unit_price,discount_pct,coupon_code,total_amount,order_date
BSH,BSH_ORD_20251103_0001,2025-11-03T09:15:23Z,CUST_02272,NA,US,Seattle,marketplace,SKU-3001,fitness,4,14.99,5,,56.96,2025-11-03
BSH,BSH_ORD_20251103_0002,2025-11-03T13:35:46Z,CUST_00579,NA,US,Austin,mobile_app,SKU-3001,fitness,4,29.99,0,,119.96,2025-11-03
BSH,BSH_ORD_20251103_0003,2025-11-03T07:02:17Z,CUST_01167,NA,US,Seattle,online,SKU-1001,apparel,2,14.99,10,,26.98,2025-11-03
BSH,BSH_ORD_20251103_0004,2025-11-03T15:38:56Z,CUST_01383,EU,UK,London,mobile_app,SKU-5001,outdoor,1,49.99,0,,49.99,2025-11-03
BSH,BSH_ORD_20251103_0005,2025-11-03T18:05:14Z,CUST_00806,NA,US,Austin,mobile_app,SKU-1001,apparel,4,29.99,10,,107.96,2025-11-03
BSH,BSH_ORD_20251103_0006,2025-11-03T11:15:34Z,CUST_04726,EU,DE,Berlin,marketplace,SKU-2001,home,1,9.99,15,,8.49,2025-11-03
BSH,BSH_ORD_20251103_0007,2025-11-03T10:57:55Z,CUST_04703,NA,US,Seattle,online,SKU-3001,fitness,2,9.99,15,,16.98,2025-11-03
BSH,BSH_ORD_20251103_0008,2025-11-03T20:37:08Z,CUST_01142,EU,DE,Berlin,marketplace,SKU-4001,electronics,3,14.99,0,,44.97,2025-11-03
BSH,BSH_ORD_20251103_0009,2025-11-03T06:07:40Z,CUST_02185,NA,US,Austin,mobile_app,SKU-1001,apparel,2,99.99,5,,189.98,2025-11-03
BSH,BSH_ORD_20251103_0010,2025-11-03T12:03:55Z,CUST_03952,EU,DE,Berlin,marketplace,SKU-2001,home,3,99.99,15,,254.97,2025-11-03
BSH,BSH_ORD_20251103_0011,2025-11-03T22:13:10Z,CUST_00911,NA,US,Seattle,marketplace,SKU-5001,outdoor,4,99.99,15,,339.97,2025-11-03
BSH,BSH_ORD_20251103_0012,2025-11-03T09:04:58Z,CUST_01044,EU,DE,Berlin,mobile_app,SKU-2001,home,3,99.99,10,,269.97,2025-11-03
BSH,BSH_ORD_20251103_0013,2025-11-03T01:59:47Z,CUST_04505,NA,US,Denver,online,SKU-1001,apparel,1,49.99,5,,47.49,2025-11-03
BSH,BSH_ORD_20251103_0014,2025-11-03T11:00:06Z,CUST_01337,EU,DE,Berlin,online,SKU-5001,outdoor,2,29.99,0,,59.98,2025-11-03
