order_id,order_date,customer_id,sku,model,category,order_type,channel,quantity,unit_price,discount_code,discount_amount,total_amount,payment_method,order_status,city,region,ship_date,browser,os,session_id
ORD-W-000101,2024-06-27 11:46:00,CUST-00045,SKU-0013,Kindle Paperwhite,Tablets & Accessories,WEB,affiliate,5,150.69,NEWUSER15,113.02,640.43,UPI,SHIPPED,Bangalore,South,2024-06-29,Opera,macOS Ventura,SESS-897143
ORD-W-000102,2024-11-17 15:29:00,CUST-00083,SKU-0012,Samsung Tab S9,Tablets & Accessories,WEB,own_website,3,830.94,,0.0,2492.82,COD,DELIVERED,Lucknow,North,2024-11-22,Safari,macOS Ventura,SESS-561124
ORD-W-000103,2024-08-14 20:19:00,CUST-00010,SKU-0031,LEGO Technic,Toys & Games,WEB,own_website,3,44.9,,0.0,134.7,NETBANKING,DELIVERED,Hyderabad,South,2024-08-18,Chrome,Ubuntu 22.04,SESS-972097
ORD-W-000104,2024-11-26 02:39:00,CUST-00083,SKU-0005,Redmi Note 13,Mobile Phones,WEB,facebook_shop,2,282.89,SAVE10,56.58,509.2,COD,DELIVERED,Lucknow,North,2024-11-28,Opera,Windows 10,SESS-625721
ORD-W-000105,2024-08-18 03:51:00,CUST-00182,SKU-0004,OnePlus 12,Mobile Phones,WEB,google_shopping,4,747.75,FESTIVE20,598.2,2392.8,CREDIT_CARD,DELIVERED,Bangalore,South,2024-08-20,Edge,Windows 10,SESS-649525
ORD-W-000106,2024-03-22 11:23:00,CUST-00017,SKU-0040,Foam Roller,Health & Fitness,WEB,affiliate,4,20.83,,0.0,83.32,EMI,DELIVERED,Mumbai,West,2024-03-25,Safari,Windows 11,SESS-685066
ORD-W-000107,2024-05-09 23:54:00,CUST-00090,SKU-0019,Zara Trench Coat,Apparel,WEB,instagram_shop,2,129.19,NEWUSER15,38.76,219.62,COD,SHIPPED,Lucknow,North,2024-05-11,Safari,Windows 10,SESS-235215
ORD-W-000108,2024-02-13 09:35:00,CUST-00131,SKU-0046,Dog Food Premium 10kg,Pet Supplies,WEB,affiliate,1,89.07,NEWUSER15,13.36,75.71,CREDIT_CARD,DELIVERED,Jaipur,North,2024-02-17,Safari,Windows 11,SESS-480211
ORD-W-000109,2024-04-19 10:49:00,CUST-00026,SKU-0012,Samsung Tab S9,Tablets & Accessories,WEB,facebook_shop,1,724.4,NEWUSER15,108.66,615.74,EMI,CONFIRMED,Hyderabad,South,,Opera,macOS Sonoma,SESS-975686
ORD-W-000110,2024-12-04 10:56:00,CUST-00178,SKU-0003,Pixel 8,Mobile Phones,WEB,affiliate,3,617.05,,0.0,1851.15,EMI,CONFIRMED,Bangalore,South,,Opera,macOS Ventura,SESS-856215
ORD-W-000111,2024-07-29 11:43:00,CUST-00062,SKU-0003,Pixel 8,Mobile Phones,WEB,instagram_shop,2,763.59,SUMMER25,381.8,1145.38,DEBIT_CARD,DELIVERED,Ahmedabad,West,2024-08-03,Safari,Windows 10,SESS-975679
ORD-W-000112,2024-12-13 18:28:00,CUST-00155,SKU-0024,Roomba j7+,Home Appliances,WEB,google_shopping,1,413.28,,0.0,413.28,DEBIT_CARD,DELIVERED,Pune,West,2024-12-15,Firefox,Ubuntu 22.04,SESS-154714
